C:\PCS\PCS64e\Curves\2022'12'26-17'12'20-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PUP	104.942	1147.34	-0.37721	0.00925538	-0.00259197	0.633135	0.011093	0.191553	-0.12721	0	0.681607	0.332538	-0.718604	-0.0243607	-0.189269	0.275083	-0.0382314
DN	118.8	1142.99	-0.245099	0	-0.00438056	0.965553	0.0265684	2.93646	-0.676488	0	1.84778	2.82776	-1.24263	-0.148545	-0.16621	0.494798	0
PUP	127.745	1140.27	-0.387681	-0.00445639	0.00575934	1.04743	0.00186272	4.38119	-0.137681	0	0.0481321	1.98973	1.12746	0.01099	0.0593307	0.859948	0.423283
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'57'56-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PUP	128.061	1140.88	-0.0567305	0.0135177	0.00372777	1.11071	0.00118134	4.889	0.193269	0	0.454447	2.24284	1.26373	0.0244975	-0.0687411	0.592549	0.186406
PUP	128.061	1140.88	-0.0567305	0.0135177	0.00372777	1.11071	0.00118134	4.72961	0.193269	0	0.454447	2.24284	1.26373	0.0244975	-0.0687411	0.592549	0.027021
																	
C:\PCS\PCS64e\Curves\2022'12'27-01'56'56-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	127.989	1140.62	-0.166137	0	-0.00432231	0.774155	0.0208298	6.83808	0.507946	0	1.87108	1.87078	-0.812237	-0.312559	3.50849	0.204585	0
PUP	134.615	1139.29	-0.245652	-0.00972776	0.00151374	0.870536	0.0127495	1.729	0.00434794	0	0.897251	1.28214	-1.04991	0.0122619	0.386283	0.705037	-0.508416
																	
C:\PCS\PCS64e\Curves\2022'12'27-02'41'32-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
